staff id,company,organization department,1st name,last name,email,role
STF1001,McDuck Money Bin,Loan Department,David,Dalton,david.dalton@mcduckmoneybin.com,Loan Officer
STF1002,McDuck Money Bin,Client Services,Donna,Day,donna.day@mcduckmoneybin.com,Customer Service Representative
STF1003,McDuck Money Bin,Compliance & Legal,Danielle,Dickson,danielle.dickson@mcduckmoneybin.com,Compliance Officer
STF1004,McDuck Money Bin,Client Services,Diane,Doyle,diane.doyle@mcduckmoneybin.com,Customer Service Representative
STF1005,McDuck Money Bin,Client Services,Desmond,Denton,desmond.denton@mcduckmoneybin.com,Customer Service Representative
STF1006,McDuck Money Bin,Compliance & Legal,Delilah,Dunn,delilah.dunn@mcduckmoneybin.com,Compliance Officer
STF1007,McDuck Money Bin,Compliance & Legal,Darius,Davis,darius.davis@mcduckmoneybin.com,Compliance Officer
STF1008,McDuck Money Bin,Client Services,Dominic,Darcy,dominic.darcy@mcduckmoneybin.com,Customer Service Representative
STF1009,McDuck Money Bin,Retail Banking,Daisy,Drew,daisy.drew@mcduckmoneybin.com,Teller
STF1010,McDuck Money Bin,Compliance & Legal,Daniel,Delgado,daniel.delgado@mcduckmoneybin.com,Compliance Officer
STF1011,McDuck Money Bin,Loan Department,Dorothy,Daniels,dorothy.daniels@mcduckmoneybin.com,Loan Officer
STF1012,McDuck Money Bin,Client Services,Derek,Douglas,derek.douglas@mcduckmoneybin.com,Customer Service Representative
STF1013,McDuck Money Bin,Client Services,Dean,Dumont,dean.dumont@mcduckmoneybin.com,Customer Service Representative
STF1014,McDuck Money Bin,Retail Banking,Damien,Donovan,damien.donovan@mcduckmoneybin.com,Branch Manager
STF1015,McDuck Money Bin,Retail Banking,Deborah,Duncan,deborah.duncan@mcduckmoneybin.com,Branch Manager
STF1016,McDuck Money Bin,Retail Banking,Diana,Dixon,diana.dixon@mcduckmoneybin.com,Branch Manager
STF1017,McDuck Money Bin,Retail Banking,Dante,Dugan,dante.dugan@mcduckmoneybin.com,Teller
STF1018,McDuck Money Bin,Loan Department,Dylan,Diaz,dylan.diaz@mcduckmoneybin.com,Loan Officer
STF1019,McDuck Money Bin,Compliance & Legal,Daphne,Drake,daphne.drake@mcduckmoneybin.com,Compliance Officer
STF1020,McDuck Money Bin,Client Services,Dora,Davenport,dora.davenport@mcduckmoneybin.com,Customer Service Representative
